x,y,z,r,g,b,distance_to_cam,class,class_r,class_g,class_b,frame_index,depth_uncertainty
-0.04658203125,-0.03896484375,0.07384747076424432,39,61,53,0.07384465,14,31,31,31,0,0.0
-0.04658203125,-0.03837890625,0.0738258380525022,39,64,55,0.07380935,14,31,31,31,0,0.0
-0.04658203125,-0.03779296875,0.07381362298319738,46,68,59,0.07380935,14,31,31,31,0,0.0
-0.04599609375,-0.03896484375,0.0738487440020756,39,62,54,0.07380935,14,31,31,31,0,0.0
-0.04599609375,-0.03837890625,0.07382729505110482,42,65,58,0.07380935,14,31,31,31,0,0.0
-0.04599609375,-0.03779296875,0.07381489035954875,43,66,58,0.07380935,14,31,31,31,0,0.0
-0.04541015625,-0.03896484375,0.07384999574304876,39,61,54,0.07380935,14,31,31,31,0,0.0
-0.04541015625,-0.03837890625,0.07382890887906829,38,61,53,0.07380935,14,31,31,31,0,0.0
-0.04541015625,-0.03779296875,0.07381644893734345,44,66,59,0.07380935,14,31,31,31,0,0.0
-0.04482421875,-0.03896484375,0.07385134110947134,42,63,55,0.07380935,14,31,31,31,0,0.0
-0.04482421875,-0.03837890625,0.07383048433400492,38,59,52,0.07380935,14,31,31,31,0,0.0
-0.04482421875,-0.03779296875,0.07381795069574382,40,62,54,0.07381628,14,31,31,31,0,0.0
-0.04423828125,-0.03837890625,0.07383202704768699,40,61,54,0.07381628,14,31,31,31,0,0.0
-0.04423828125,-0.03779296875,0.07381941929086445,41,63,53,0.07381628,14,31,31,31,0,0.0
-0.04365234375,-0.03896484375,0.07385378856881013,42,63,55,0.07381628,14,31,31,31,0,0.0
-0.04365234375,-0.03837890625,0.07383357241612203,42,63,55,0.07381628,14,31,31,31,0,0.0
-0.04365234375,-0.03779296875,0.07382113528751137,43,63,56,0.07381628,14,31,31,31,0,0.0
-0.04306640625,-0.03779296875,0.0738231603611202,43,63,54,0.07381628,14,31,31,31,0,0.0
-0.04248046875,-0.03896484375,0.07385690387634827,41,59,53,0.07385534,14,31,31,31,0,0.0
-0.04248046875,-0.03779296875,0.07382489780863831,42,62,53,0.07381628,14,31,31,31,0,0.0
-0.04189453125,-0.03896484375,0.07385781092515147,43,59,52,0.07385534,14,31,31,31,0,0.0
-0.04189453125,-0.03779296875,0.07382704523731962,41,58,50,0.07385534,14,31,31,31,0,0.0
-0.04130859375,-0.03896484375,0.07385974869902216,53,64,51,0.07385769,14,31,31,31,0,0.0
-0.04130859375,-0.03837890625,0.0738426238251013,46,58,49,0.07382938,14,31,31,31,0,0.0
-0.04072265625,-0.03896484375,0.07386281947913519,68,73,53,0.07385769,14,31,31,31,0,0.0
-0.04072265625,-0.03779296875,0.07383585872628878,47,57,45,0.07382938,14,31,31,31,0,0.0
-0.04013671875,-0.03896484375,0.07386640348969137,69,77,62,0.07385769,14,31,31,31,0,0.0
-0.04013671875,-0.03837890625,0.07385167141036453,88,92,68,0.07382938,14,31,31,31,0,0.0
-0.04013671875,-0.03779296875,0.0738416051664968,65,70,54,0.07382938,14,31,31,31,0,0.0
-0.03955078125,-0.03896484375,0.07387135909820591,69,73,58,0.07385769,14,31,31,31,0,0.0
-0.03955078125,-0.03837890625,0.07385725929524788,75,81,63,0.07382938,14,31,31,31,0,0.0
-0.03955078125,-0.03779296875,0.07384764032247337,122,124,93,0.07382938,14,31,31,31,0,0.0
-0.03896484375,-0.03896484375,0.07387653457067184,97,99,75,0.0738577,25,236,128,255,0,0.0
-0.03896484375,-0.03837890625,0.07386332868446588,96,96,75,0.0738577,25,236,128,255,0,0.0
-0.03896484375,-0.03779296875,0.07385493312591082,86,88,66,0.0738577,25,236,128,255,0,0.0
-0.03837890625,-0.03896484375,0.07388068055075572,91,91,63,0.0738577,25,236,128,255,0,0.0
-0.03837890625,-0.03837890625,0.07386856441605405,105,104,76,0.0738577,25,236,128,255,0,0.0
-0.03837890625,-0.03779296875,0.07386117500763788,87,85,64,0.0738577,25,236,128,255,0,0.0
-0.03779296875,-0.03896484375,0.0738835533272453,72,71,51,0.07387548,25,236,128,255,0,0.0
-0.03779296875,-0.03837890625,0.07387218658807738,66,68,50,0.0738577,25,236,128,255,0,0.0
-0.03779296875,-0.03779296875,0.07386566087913585,69,70,53,0.0738577,25,236,128,255,0,0.0
-0.027832031249999997,-0.01845703125,0.07389728821509137,43,46,33,0.07389332,14,31,31,31,0,0.0
-0.027832031249999997,-0.01787109375,0.073897247558569,42,46,31,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.01728515625,0.0738971837075965,46,50,32,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.016699218749999998,0.07389726473206648,86,82,58,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.01611328125,0.07389679916659858,62,57,31,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.015527343749999999,0.07389646235176724,68,62,40,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.014941406249999999,0.07389448162949323,62,59,40,0.07389486,25,236,128,255,0,0.0
-0.027832031249999997,-0.01435546875,0.0738926507709553,67,62,43,0.07389114,28,189,119,255,0,0.0
-0.027832031249999997,-0.01376953125,0.0738930482931852,84,80,52,0.07389114,28,189,119,255,0,0.0
-0.027832031249999997,-0.01318359375,0.07389286472778318,107,99,68,0.07389114,28,189,119,255,0,0.0
-0.027832031249999997,-0.012597656249999999,0.07389808880686109,100,95,68,0.07390836,5,194,178,128,0,0.0
-0.027832031249999997,-0.01201171875,0.07390548914143824,74,79,58,0.07390836,5,194,178,128,0,0.0
-0.02724609375,-0.01845703125,0.07389498166473972,41,46,31,0.07389332,14,31,31,31,0,0.0
-0.02724609375,-0.01787109375,0.07389532527108966,41,46,31,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.01728515625,0.0738955728375412,43,46,34,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.016699218749999998,0.07389607108815081,39,42,28,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.01611328125,0.07389603697511966,81,79,55,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.015527343749999999,0.07389594802559113,82,76,56,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.014941406249999999,0.07389418359234931,72,66,43,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.01435546875,0.07389289686895538,76,70,46,0.07389486,25,236,128,255,0,0.0
-0.02724609375,-0.01376953125,0.07389377802135577,67,61,37,0.07389114,28,189,119,255,0,0.0
-0.02724609375,-0.01318359375,0.07389394469241928,82,77,45,0.07389114,28,189,119,255,0,0.0
-0.02724609375,-0.012597656249999999,0.07389940808908571,95,91,60,0.07390836,5,194,178,128,0,0.0
-0.02724609375,-0.01201171875,0.07390659526335397,94,97,71,0.07390836,5,194,178,128,0,0.0
-0.026660156249999997,-0.01845703125,0.07389168495728804,38,43,31,0.07388498,14,31,31,31,0,0.0
-0.026660156249999997,-0.01787109375,0.07389239303644438,39,45,31,0.07389043,14,31,31,31,0,0.0
-0.026660156249999997,-0.01728515625,0.07389290297397069,40,48,33,0.07389043,14,31,31,31,0,0.0
-0.026660156249999997,-0.016699218749999998,0.07389368434545489,37,41,31,0.07389043,14,31,31,31,0,0.0
-0.026660156249999997,-0.01611328125,0.07389396990793062,78,77,53,0.07389043,14,31,31,31,0,0.0
-0.026660156249999997,-0.015527343749999999,0.07389407780996063,67,64,41,0.07389043,14,31,31,31,0,0.0
-0.026660156249999997,-0.014941406249999999,0.07389285075722875,93,87,58,0.07389486,25,236,128,255,0,0.0
-0.026660156249999997,-0.01435546875,0.07389240900390151,106,95,59,0.07389253,6,224,118,119,0,0.0
-0.026660156249999997,-0.01376953125,0.07389395829303931,95,86,55,0.07389253,6,224,118,119,0,0.0
-0.026660156249999997,-0.01318359375,0.07389467194144446,92,83,47,0.07389253,6,224,118,119,0,0.0
-0.026660156249999997,-0.012597656249999999,0.07390031391871096,92,88,58,0.07391044,6,224,118,119,0,0.0
-0.026660156249999997,-0.01201171875,0.07390754446136966,82,83,59,0.07391044,6,224,118,119,0,0.0
-0.026074218749999996,-0.01845703125,0.07388964902429716,36,39,29,0.07388498,14,31,31,31,0,0.0
-0.026074218749999996,-0.01787109375,0.07389063372320005,42,43,31,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.01728515625,0.07389134567472912,39,43,28,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.016699218749999998,0.07389234885706268,30,37,27,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.01611328125,0.07389293450574778,31,39,25,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.015527343749999999,0.07389327636374132,78,73,49,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.014941406249999999,0.07389264711861324,72,66,42,0.07389043,14,31,31,31,0,0.0
-0.026074218749999996,-0.01435546875,0.07389326694535377,124,114,81,0.07389253,6,224,118,119,0,0.0
-0.026074218749999996,-0.01376953125,0.07389545796253577,112,99,58,0.07389253,6,224,118,119,0,0.0
-0.026074218749999996,-0.01318359375,0.07389684598460944,114,106,65,0.07389253,6,224,118,119,0,0.0
-0.026074218749999996,-0.012597656249999999,0.07390250001310521,92,88,59,0.07391044,6,224,118,119,0,0.0
-0.026074218749999996,-0.01201171875,0.07390949400229921,72,74,50,0.07391044,6,224,118,119,0,0.0
-0.025488281249999998,-0.01845703125,0.07388944983276619,36,41,26,0.07388498,14,31,31,31,0,0.0
-0.025488281249999998,-0.01787109375,0.07389073237644483,72,72,48,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.01728515625,0.07389165820666253,79,76,51,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.016699218749999998,0.07389278041236222,64,63,35,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.01611328125,0.07389332309679945,60,60,35,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.015527343749999999,0.07389359204776352,64,60,38,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.014941406249999999,0.07389338219499908,67,61,37,0.07389043,14,31,31,31,0,0.0
-0.025488281249999998,-0.01435546875,0.07389427122669925,86,78,52,0.07389253,6,224,118,119,0,0.0
-0.025488281249999998,-0.01376953125,0.07389657267567655,146,133,95,0.07389253,6,224,118,119,0,0.0
-0.025488281249999998,-0.01318359375,0.0738985402006711,112,103,67,0.07389253,6,224,118,119,0,0.0
-0.025488281249999998,-0.012597656249999999,0.07390409554473859,77,71,46,0.07389253,6,224,118,119,0,0.0
-0.025488281249999998,-0.01201171875,0.07391059496034891,72,69,50,0.07391044,6,224,118,119,0,0.0
-0.024902343749999997,-0.01845703125,0.0738914605787077,48,49,28,0.073905006,17,236,150,21,0,0.0
-0.024902343749999997,-0.01787109375,0.07389299235398518,78,71,49,0.07389043,14,31,31,31,0,0.0
-0.024902343749999997,-0.01728515625,0.07389402182228891,60,56,36,0.07389043,14,31,31,31,0,0.0
-0.024902343749999997,-0.016699218749999998,0.0738950891533625,68,61,36,0.07389043,14,31,31,31,0,0.0
-0.024902343749999997,-0.01611328125,0.07389550935688824,67,62,36,0.07389043,14,31,31,31,0,0.0
-0.024902343749999997,-0.015527343749999999,0.07389586447957854,65,61,38,0.07391128,14,31,31,31,0,0.0
-0.024902343749999997,-0.014941406249999999,0.07389574971630403,65,60,38,0.073931105,6,224,118,119,0,0.0
-0.024902343749999997,-0.01435546875,0.0738964680602396,74,69,47,0.07389253,6,224,118,119,0,0.0
-0.024902343749999997,-0.01376953125,0.07389876377704939,83,76,49,0.07389253,6,224,118,119,0,0.0
-0.024902343749999997,-0.01318359375,0.07390076366733102,104,99,70,0.07389253,6,224,118,119,0,0.0
-0.024902343749999997,-0.012597656249999999,0.07390587783602813,84,78,51,0.07389253,6,224,118,119,0,0.0
-0.024902343749999997,-0.01201171875,0.07391195862197096,68,66,43,0.07391044,6,224,118,119,0,0.0
-0.02431640625,-0.01845703125,0.07389912494232462,30,35,20,0.073905006,17,236,150,21,0,0.0
-0.02431640625,-0.01787109375,0.07390043920763288,62,64,46,0.073905006,17,236,150,21,0,0.0
-0.02431640625,-0.01728515625,0.07390132394589397,71,70,43,0.07391128,14,31,31,31,0,0.0
-0.02431640625,-0.016699218749999998,0.07390198499309764,80,75,48,0.07391128,14,31,31,31,0,0.0
-0.02431640625,-0.01611328125,0.07390259270129344,73,69,43,0.07391128,14,31,31,31,0,0.0
-0.02431640625,-0.015527343749999999,0.07390285362680106,69,64,42,0.07391128,14,31,31,31,0,0.0
-0.02431640625,-0.014941406249999999,0.0739027103414782,65,60,38,0.073931105,6,224,118,119,0,0.0
-0.02431640625,-0.01435546875,0.07390342171797533,62,60,37,0.073931105,6,224,118,119,0,0.0
-0.02431640625,-0.01376953125,0.07390519679510453,90,84,58,0.073931105,6,224,118,119,0,0.0
-0.02431640625,-0.01318359375,0.07390690211525244,78,72,46,0.07389253,6,224,118,119,0,0.0
-0.02431640625,-0.012597656249999999,0.07391131652837907,84,78,52,0.07389253,6,224,118,119,0,0.0
-0.02431640625,-0.01201171875,0.07391626805838247,65,60,38,0.07394563,14,31,31,31,0,0.0
-0.023730468749999997,-0.01845703125,0.07392812353441305,39,39,21,0.073905006,17,236,150,21,0,0.0
-0.023730468749999997,-0.01787109375,0.07392997850745758,25,36,25,0.073905006,17,236,150,21,0,0.0
-0.023730468749999997,-0.01728515625,0.0739309217268884,36,47,32,0.07391128,14,31,31,31,0,0.0
-0.023730468749999997,-0.016699218749999998,0.0739295102441785,26,34,24,0.07391128,14,31,31,31,0,0.0
-0.023730468749999997,-0.01611328125,0.07393064556730923,29,37,25,0.07391128,14,31,31,31,0,0.0
-0.023730468749999997,-0.015527343749999999,0.07393170002767101,63,62,40,0.07391128,14,31,31,31,0,0.0
-0.023730468749999997,-0.014941406249999999,0.07393148144345317,75,69,45,0.073931105,6,224,118,119,0,0.0
-0.023730468749999997,-0.01435546875,0.07393101343156792,65,60,38,0.073931105,6,224,118,119,0,0.0
-0.023730468749999997,-0.01376953125,0.07393222660894583,64,61,37,0.073931105,6,224,118,119,0,0.0
-0.023730468749999997,-0.01318359375,0.07393399970554702,75,69,43,0.073931105,6,224,118,119,0,0.0
-0.023730468749999997,-0.012597656249999999,0.07393699402083355,73,71,45,0.07394563,14,31,31,31,0,0.0
-0.023730468749999997,-0.01201171875,0.07393696200846461,70,69,43,0.07394563,14,31,31,31,0,0.0
-0.04658203125,-0.026660156249999997,0.07385516425714635,89,123,99,0.07385126,5,194,178,128,0,0.0
-0.04658203125,-0.026074218749999996,0.07386163690482787,104,139,110,0.07385126,5,194,178,128,0,0.0
-0.04658203125,-0.025488281249999998,0.07386583101757244,107,141,112,0.07385126,5,194,178,128,0,0.0
-0.04658203125,-0.024902343749999997,0.07386871620860963,138,179,138,0.07385126,5,194,178,128,0,0.0
-0.04658203125,-0.02431640625,0.07386856881017918,167,206,163,0.07385126,5,194,178,128,0,0.0
-0.04658203125,-0.023730468749999997,0.07386605771043402,156,190,147,0.073853396,18,161,153,128,0,0.0
-0.04658203125,-0.023144531249999996,0.07386510016050266,175,210,164,0.073853396,18,161,153,128,0,0.0
-0.04658203125,-0.022558593749999998,0.07386229709573253,131,165,119,0.073853396,18,161,153,128,0,0.0
-0.04658203125,-0.021972656249999997,0.0738582793151541,170,203,158,0.073853396,18,161,153,128,0,0.0
-0.04658203125,-0.02138671875,0.07385510949552358,123,152,113,0.073853396,18,161,153,128,0,0.0
-0.04658203125,-0.020800781249999997,0.07385143035932334,171,200,160,0.07383321,5,194,178,128,0,0.0
-0.04658203125,-0.020214843749999996,0.07384737749857427,127,156,117,0.07383321,5,194,178,128,0,0.0
-0.04658203125,-0.019628906249999998,0.07384376353500202,145,172,136,0.07383321,5,194,178,128,0,0.0
-0.04658203125,-0.01904296875,0.07384156023204524,126,155,116,0.07383321,5,194,178,128,0,0.0
-0.04599609375,-0.026660156249999997,0.0738558626110369,82,114,92,0.07385126,5,194,178,128,0,0.0
-0.04599609375,-0.026074218749999996,0.07386208346370796,95,129,103,0.07385126,5,194,178,128,0,0.0
-0.04599609375,-0.025488281249999998,0.07386611424904305,109,144,114,0.07385126,5,194,178,128,0,0.0
-0.04599609375,-0.024902343749999997,0.07386966152048528,132,168,134,0.07385126,5,194,178,128,0,0.0
-0.04599609375,-0.02431640625,0.07387003082538414,156,191,146,0.07385126,5,194,178,128,0,0.0
-0.04599609375,-0.023730468749999997,0.07386745827952457,143,180,136,0.073853396,18,161,153,128,0,0.0
-0.04599609375,-0.023144531249999996,0.0738663857923611,152,187,144,0.073853396,18,161,153,128,0,0.0
